siteID	catchment	year	occurrence	LC	5mMrf	5mTrf
Co6	Coomera	2023	1	0.172901391	75.8	379
Co7	Coomera	2023	1	0.130614657	75.8	379
Co8	Coomera	2023	1	0.445290666	75.8	379
Co9	Coomera	2023	0	0.132122457	75.8	379
Cu1	Currumbin	2023	0	0.311687513	89.62	448.1
Cu10	Currumbin	2023	1	0.196259391	89.62	448.1
Cu11	Currumbin	2023	1	0.179398939	89.62	448.1
Cu12	Currumbin	2023	0	0.162725652	89.62	448.1
Cu2	Currumbin	2023	1	0.310925823	89.62	448.1
Cu3	Currumbin	2023	1	0.301459433	89.62	448.1
Cu5	Currumbin	2023	1	0.296103044	89.62	448.1
Cu6	Currumbin	2023	1	0.290707055	89.62	448.1
Cu7	Currumbin	2023	0	0.272166793	89.62	448.1
Cu8	Currumbin	2023	0	0.254818512	89.62	448.1
Cu9	Currumbin	2023	1	0.225177523	89.62	448.1
M1	Mudgeeraba	2023	1	0.478497073	67.48	337.4
M10	Mudgeeraba	2023	1	0.128874034	67.48	337.4
M11	Mudgeeraba	2023	1	0.057689897	67.48	337.4
M13	Mudgeeraba	2023	0	0.034280048	67.48	337.4
M2	Mudgeeraba	2023	0	0.401983749	67.48	337.4
M3	Mudgeeraba	2023	1	0.402986875	67.48	337.4
M4	Mudgeeraba	2023	1	0.39081983	67.48	337.4
M5	Mudgeeraba	2023	0	0.334345611	67.48	337.4
M6	Mudgeeraba	2023	1	0.320764813	67.48	337.4
M7	Mudgeeraba	2023	1	0.222032657	67.48	337.4
M8	Mudgeeraba	2023	0	0.192256597	67.48	337.4
M9	Mudgeeraba	2023	1	0.16790937	67.48	337.4
N1	Nerang	2023	1	0.025904652	63.8	319
N10	Nerang	2023	1	0.042007673	63.8	319
N11	Nerang	2023	1	0.042727292	63.8	319
N12	Nerang	2023	0	0.027372269	63.8	319
N2	Nerang	2023	0	0.026264431	63.8	319
N3	Nerang	2023	0	0.026504893	63.8	319
N4	Nerang	2023	1	0.026805758	63.8	319
N5	Nerang	2023	1	0.026867655	63.8	319
N6	Nerang	2023	1	0.027123083	63.8	319
N7	Nerang	2023	0	0.02838557	63.8	319
N8	Nerang	2023	1	0.039965695	63.8	319
N9	Nerang	2023	1	0.045568409	63.8	319
